Entity,Code,Year,sg_law_nodc_hr_yes_count,sg_law_eqrm_wk_yes_count,sh_mmr_leve_al_yes_count,sg_leg_dvaw_yes_count,sg_own_prrt_im_yes_count,sg_bus_regt_eq_yes_count
North America,,1995,8,2,3,8,20,23
North America,,1996,8,2,3,11,20,23
North America,,1997,9,2,3,15,20,23
North America,,1998,9,2,3,15,20,23
North America,,1999,9,2,3,16,21,23
North America,,2000,12,3,3,17,21,23
North America,,2001,13,3,4,17,21,23
North America,,2002,14,3,4,20,22,23
North America,,2003,14,3,4,20,22,23
North America,,2004,14,3,4,20,22,23
North America,,2005,15,3,4,20,22,23
North America,,2006,15,3,4,20,22,23
North America,,2007,15,4,4,21,22,23
North America,,2008,15,4,4,22,22,23
North America,,2009,15,4,4,22,22,23
North America,,2010,15,4,4,22,22,23
North America,,2011,15,4,4,22,22,23
North America,,2012,15,4,4,22,22,23
North America,,2013,16,4,5,22,22,23
North America,,2014,16,4,5,22,22,23
North America,,2015,16,4,5,22,22,23
North America,,2016,16,4,6,22,22,23
North America,,2017,16,4,7,22,22,23
North America,,2018,16,4,7,22,22,23
North America,,2019,16,5,7,22,22,23
North America,,2020,17,5,7,22,22,23
North America,,2021,17,5,7,22,22,23
North America,,2022,17,5,8,22,22,23
North America,,2023,17,5,8,22,22,23
Oceania,,1970,0,0,0,0,5,12
Oceania,,1971,0,0,0,0,5,12
Oceania,,1972,0,0,0,0,5,12
Oceania,,1973,0,0,0,0,5,12
Oceania,,1974,0,0,0,0,5,12
Oceania,,1975,0,0,0,0,5,12
Oceania,,1976,0,0,0,0,5,12
Oceania,,1977,0,0,0,0,5,12
Oceania,,1978,1,0,0,0,5,12
Oceania,,1979,2,0,0,0,5,12
Oceania,,1980,2,0,0,0,5,12
Oceania,,1981,2,0,0,0,5,12
Oceania,,1982,2,0,0,0,5,12
Oceania,,1983,2,0,0,0,5,12
Oceania,,1984,3,0,0,0,5,12
Oceania,,1985,3,0,0,0,5,12
Oceania,,1986,3,0,0,0,5,12
Oceania,,1987,3,0,0,0,5,12
Oceania,,1988,3,0,0,0,5,12
Oceania,,1989,3,0,0,0,5,12
Oceania,,1990,3,0,0,0,5,12
Oceania,,1991,3,0,0,0,5,12
Oceania,,1992,3,0,0,0,5,12
Oceania,,1993,3,0,0,0,5,12
Oceania,,1994,3,0,0,0,5,12
Oceania,,1995,3,0,0,0,5,12
Oceania,,1996,3,0,0,1,5,12
Oceania,,1997,3,1,0,1,5,12
Oceania,,1998,3,1,0,1,5,12
Oceania,,1999,3,1,0,1,5,12
Oceania,,2000,3,1,0,1,5,12
Oceania,,2001,3,1,0,1,5,12
Oceania,,2002,3,1,0,1,5,12
Oceania,,2003,3,1,0,1,5,12
Oceania,,2004,3,1,0,1,5,12
Oceania,,2005,3,1,0,1,5,12
Oceania,,2006,3,1,1,1,5,12
Oceania,,2007,3,1,1,1,5,12
Oceania,,2008,5,1,1,2,5,12
Oceania,,2009,5,2,1,3,5,12
Oceania,,2010,5,2,1,4,5,12
Oceania,,2011,5,2,2,4,5,12
Oceania,,2012,5,2,2,5,5,12
Oceania,,2013,6,2,2,7,5,12
Oceania,,2014,6,2,2,9,5,12
Oceania,,2015,6,2,2,11,5,12
Oceania,,2016,6,2,2,11,5,12
Oceania,,2017,6,2,2,11,5,12
Oceania,,2018,6,2,2,12,5,12
Oceania,,2019,6,2,3,12,5,12
Oceania,,2020,7,4,3,12,5,12
Oceania,,2021,7,4,3,12,5,12
Oceania,,2022,7,4,3,12,5,12
Oceania,,2023,7,4,3,12,5,12
South America,,1970,0,0,0,0,3,5
South America,,1971,0,0,0,0,4,6
South America,,1972,0,0,0,0,4,6
South America,,1973,0,0,1,0,5,7
South America,,1974,0,0,1,0,5,7
South America,,1975,0,0,1,0,5,7
South America,,1976,1,1,1,0,5,7
South America,,1977,1,1,1,0,5,7
South America,,1978,1,1,1,0,5,7
South America,,1979,1,1,1,0,5,7
South America,,1980,1,1,1,0,5,7
South America,,1981,1,1,1,0,6,7
South America,,1982,1,1,1,0,6,7
South America,,1983,1,1,1,0,7,7
South America,,1984,1,1,1,0,7,7
South America,,1985,1,1,1,0,8,7
South America,,1986,1,1,1,0,8,7
South America,,1987,1,1,1,0,8,7
South America,,1988,1,1,1,0,8,8
South America,,1989,1,1,2,0,8,8
South America,,1990,2,1,2,0,8,9
South America,,1991,3,1,2,0,8,9
South America,,1992,3,1,2,0,8,9
South America,,1993,3,1,2,0,9,10
South America,,1994,4,2,2,1,9,10
South America,,1995,4,2,2,2,9,10
South America,,1996,4,2,2,5,9,10
South America,,1997,5,2,2,7,9,10
South America,,1998,6,3,3,7,9,10
South America,,1999,7,4,3,8,9,10
South America,,2000,7,4,3,8,9,10
South America,,2001,7,4,3,9,9,10
South America,,2002,8,4,3,9,10,11
South America,,2003,8,4,3,9,10,11
South America,,2004,8,4,3,9,11,11
South America,,2005,8,4,3,9,11,11
South America,,2006,8,4,3,10,11,11
South America,,2007,8,5,3,11,11,11
South America,,2008,8,5,3,11,11,11
South America,,2009,9,6,3,12,11,11
South America,,2010,9,6,3,12,11,11
South America,,2011,9,6,3,12,11,11
South America,,2012,10,6,4,12,11,11
South America,,2013,10,6,4,12,11,11
South America,,2014,10,6,5,12,11,11
South America,,2015,10,6,5,12,11,11
South America,,2016,10,6,7,12,11,11
South America,,2017,10,6,7,12,11,11
South America,,2018,10,7,7,12,11,11
South America,,2019,11,7,7,12,11,11
South America,,2020,11,7,8,12,11,11
South America,,2021,11,7,8,12,11,11
South America,,2022,11,7,8,12,11,11
South America,,2023,11,7,8,12,11,11
World,OWID_WRL,1970,6,3,45,0,121,154
World,OWID_WRL,1971,6,3,46,0,122,155
World,OWID_WRL,1972,10,3,48,0,122,155
World,OWID_WRL,1973,15,5,51,0,125,158
World,OWID_WRL,1974,15,5,52,0,126,160
World,OWID_WRL,1975,15,8,53,0,126,161
World,OWID_WRL,1976,18,9,55,0,126,161
World,OWID_WRL,1977,19,10,55,0,128,162
World,OWID_WRL,1978,22,11,56,0,130,164
World,OWID_WRL,1979,25,13,56,0,131,165
World,OWID_WRL,1980,28,14,56,0,132,166
World,OWID_WRL,1981,30,14,58,0,134,166
World,OWID_WRL,1982,31,14,58,1,136,167
World,OWID_WRL,1983,32,14,58,1,138,169
World,OWID_WRL,1984,36,15,61,1,138,169
World,OWID_WRL,1985,36,15,61,1,140,168
World,OWID_WRL,1986,38,15,63,1,141,168
World,OWID_WRL,1987,40,17,64,3,141,168
World,OWID_WRL,1988,42,18,67,3,142,171
World,OWID_WRL,1989,42,20,68,4,142,171
World,OWID_WRL,1990,45,21,69,6,145,172
World,OWID_WRL,1991,47,22,69,7,146,172
World,OWID_WRL,1992,48,22,69,10,148,172
World,OWID_WRL,1993,54,23,71,11,149,173
World,OWID_WRL,1994,58,25,72,12,151,174
World,OWID_WRL,1995,67,28,74,18,151,175
World,OWID_WRL,1996,70,29,75,26,152,176
World,OWID_WRL,1997,77,33,75,35,152,176
World,OWID_WRL,1998,81,35,77,37,153,176
World,OWID_WRL,1999,84,37,77,42,154,176
World,OWID_WRL,2000,93,40,77,45,155,176
World,OWID_WRL,2001,94,41,79,47,156,176
World,OWID_WRL,2002,103,44,79,51,159,177
World,OWID_WRL,2003,109,49,80,55,159,177
World,OWID_WRL,2004,116,52,84,60,160,178
World,OWID_WRL,2005,121,53,84,66,163,180
World,OWID_WRL,2006,123,55,88,77,164,181
World,OWID_WRL,2007,126,59,90,88,164,181
World,OWID_WRL,2008,133,60,90,97,165,181
World,OWID_WRL,2009,136,65,91,105,166,182
World,OWID_WRL,2010,138,67,92,110,166,182
World,OWID_WRL,2011,140,69,95,114,166,182
World,OWID_WRL,2012,141,70,96,122,167,182
World,OWID_WRL,2013,144,73,98,127,168,182
World,OWID_WRL,2014,145,75,100,135,168,182
World,OWID_WRL,2015,145,75,100,141,168,182
World,OWID_WRL,2016,147,79,106,144,168,182
World,OWID_WRL,2017,149,79,108,146,168,183
World,OWID_WRL,2018,152,84,109,153,168,183
World,OWID_WRL,2019,155,88,114,155,169,183
World,OWID_WRL,2020,158,91,116,157,169,184
World,OWID_WRL,2021,159,93,117,159,170,183
World,OWID_WRL,2022,159,95,118,161,170,184
World,OWID_WRL,2023,161,97,122,164,170,184
